X,Y,OBJECTID,CNES,NOME,CAP,EQUIPES,ENDERECO,BAIRRO,TELEFONE,EMAIL,HORARIO_SEMANA,HORARIO_SABADO,TIPO_ABC,TIPO_UNIDADE,DATA_INAUGURACAO,Flg_Ativo,CNES_,GlobalID
-4838862.8868,-2616884.3773,701,2270420,SMS CMS WALDYR FRANCO - AP 51,51,17 - BANGU,"PRACA CECILIA PEDRO, 60",BANGU,(21)3332-9322,ger.waldirfranco.cap51@iabas.org.br,7 às 17h,8 às 12h,C,CMS,1960/06/26 03:00:00+00,,2270420,61a1b625-a5eb-4ff9-aa0b-07c5355bef99
-4807897.5709,-2620997.1234,702,6694187,SMS PADI SOUZA AGUIAR,10,2 - CENTRO,"RUA MONCORVO FILHO, 10",CENTRO, ,acfisio@gmail.com,0 às 0h,-,-,HOSPITAL,,,6694187,c38cc323-0272-4825-ad4f-08cf9e090175
-4821564.3975,-2611770.9982,703,9111344,SMS CF CANDIDO RIBEIRO DA SILVA FILHO - AP 33,33,11 - PENHA,"AVENIDA SAO FELIX, 201",VISTA ALEGRE,24816111,cfcandinho@gmail.com,7 às 18h,-,A,CLINICA DA FAMILIA,2016/12/27 02:00:00+00,,9111344,a785830e-a080-43ca-b73a-093494dd3ee0
-4865889.3494,-2620505.098,704,2280310,SMS CF ERNANI DE PAIVA FERREIRA BRAGA - AP 53,53,19 - SANTA CRUZ,"AVENIDA JOAO XXIII, S/N",SANTA CRUZ,(21)33953412,cfeb.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2012/06/27 03:00:00+00,,2280310,b67767de-6e20-4f92-a37f-094b90ae6702
-4812814.1395,-2621635.7152,705,6044697,SMS CAPS AD MANE GARRINCHA - AP 22,22,9 - VILA ISABEL,"AVENIDA PROFESSOR MANOEL DE ABREU, 196",MARACANA,21 2284-6860,capsadmanegarrincha@rio.rj.gov.br,7 às 19h,-,-,CAPS,2008/05/05 03:00:00+00,,6044697,eeed362e-0cb8-421c-bd4d-0a8ee37fb0f4
-4811479.4846,-2619889.776,706,2270250,SMS CMS ERNESTO ZEFERINO TIBAU JR - AP 10,10,7 - SAO CRISTOVAO,"AVENIDA DO EXERCITO, 1",SAO CRISTOVAO,(21)38958658,cmseztibau@rio.rj.gov.br,7 às 17h,7 às 12h,C,CMS,1950/06/16 03:00:00+00,,2270250,2491c117-d8e0-4c57-906b-0c2226d4ec5f
-4856602.7882,-2631693.5882,707,2270277,SMS CMS ALVIMAR DE CARVALHO - AP 52,52,26 - GUARATIBA,"RUA SOLDADO ELISEU HIPOLITO, S/N",PEDRA DE GUARATIBA,(21)3404-7799,psacarvalho@rio.rj.gov.br,7 às 18h,8 às 12h,B,CMS,1987/02/17 03:00:00+00,,2270277,ea5b2441-445c-4d17-8beb-0d476042388c
-4814626.7631,-2614809.4128,708,7561660,SMS CAPS AD MIRIAM MAKEBA - AP 31,31,10 - RAMOS,"RUA PROFESSOR LACE, 485",BONSUCESSO,38898441,capsadmiriammakeba@vivario.org.br,24h,24h,-,CAPS,2014/08/21 03:00:00+00,,7561660,319bdae0-a6d7-4b7b-a086-0e8b837e9bc0
-4830409.9581,-2626488.1878,709,3567508,SMS CMS RAPHAEL DE PAULA SOUZA - AP 40,40,16 - JACAREPAGUA,"ESTRADA DE CURICICA, 2000",JACAREPAGUA,(21)24080058,ger.curicica.cap40@iabas.org.br,7 às 18h,8 às 12h,B,CMS,2001/01/08 02:00:00+00,,3567508,dacabf3d-0aa8-42d9-9af7-0f22ab517db3
-4826186.0171,-2617946.1821,710,199338,SMS CF ADV MARIO PIRES DA SILVA AP - 33,33,15 - MADUREIRA,PRACA MARCIA MENDES 0 CAMPINHO,CAMPINHO, , , , ,A,CLINICA DA FAMILIA,2020/07/01 03:00:00+00,,199338,b3d73951-0713-4508-bccb-0f7ac5c90960
-4813409.1438,-2621802.097,711,2269813,SMS HOSPITAL DE GERIAT. E GERONT. - AP 22,22,9 - VILA ISABEL,"RUA VISCONDE DE NITEROI, 1450",MANGUEIRA,(21)31116800,iggmpedro@rio.rj.gov.br,8 às 17h,-,-,HOSPITAL,1979/07/10 03:00:00+00,,2269813,e3629c4d-4a9f-4715-a949-0f9d6850a9f8
-4832756.5161,-2611793.1889,712,2269759,SMS CMS FLAVIO DO COUTO VIEIRA - AP 33,33,22 - ANCHIETA,"RUA LUCIO JOSE FILHO, S/N",PARQUE ANCHIETA,21 24557516,cmsflaviocoutovieira@gmail.com,7 às 18h,8 às 12h,C,CMS,2001/11/30 02:00:00+00,,2269759,c2160242-4486-4aa3-a5e7-0fc7bfe2a867
-4836478.8755,-2618533.2275,713,6387152,SMS CF OLIMPIA ESTEVES - AP 51,51,17 - BANGU,"RUA OLIMPIA ESTEVES, S/N",PADRE MIGUEL,33093487,psfolimpiaesteves@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2009/11/14 02:00:00+00,,6387152,9cd421cf-c4ed-4ce6-94a1-117614718a29
-4806226.8697,-2607178.9386,714,3567494,SMS CAPS ERNESTO NAZARETH - AP 31,31,20 - ILHA DO GOVERNADOR,"AVENIDA PARANAPUAN, 435",BANCARIOS,(21)3367-5145,capsenilha@gmail.com,8 às 17h,-,-,CAPS,2005/08/31 03:00:00+00,,3567494,3dc8f2a5-12aa-4ff9-bea6-12e760f985ff
-4829892.1805,-2624323.2921,715,3567516,SMS CAPSI ELIZA SANTA ROZA - AP 40,40,16 - JACAREPAGUA,"RUA SAMPAIO CORREA, 105",JACAREPAGUA-TAQUARA,2134125601,capsiesr@rio.rj.gov.br,8 às 18h,-,-,CAPS,2005/08/31 03:00:00+00,,3567516,5a7d4697-8fb7-4a79-bbef-13ee17d3a2e9
-4828848.5421,-2613521.8048,716,5313783,SMS CAPS DIRCINHA E LINDA BATISTA - AP 33,33,22 - ANCHIETA,"RUA JORNALISTA HERMANO REQUIAO, 447",GUADALUPE,21 2475-4917,caps.lindabatista@gmail.com,8 às 18h,-,-,CAPS,2004/07/05 03:00:00+00,,5313783,de6e68df-b5ba-49b7-94e5-16490ba47aee
-4854720.273,-2621748.8306,717,3567559,SMS CF VALDECIR SALUSTIANO CARDOZO - AP 52,52,18 - CAMPO GRANDE,"PRACA MANOEL MARIZ, S/N",COSMOS,(21)35238638,ger.cfvsc.cap52@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2004/03/20 03:00:00+00,,3567559,33bcc683-89ed-4ddd-a383-164940ea7321
-4807810.5765,-2608948.6715,718,2270064,SMS POLICLINICA NEWTON ALVES CARDOZO - AP 31,31,20 - ILHA DO GOVERNADOR,"RUA DR ANTONIO MONTEIRO - ANTIGA RUA COMBU, 191",JARDIM CARIOCA,(21)39752922,pnacardozo@gmail.com,7 às 19h,8 às 12h,-,POLICLINICA,1974/03/14 03:00:00+00,,2270064,e1aaca32-5838-4b04-ae9e-174c39b50447
-4812896.2338,-2618485.957,719,9079939,SMS CF MEDALHISTA OLIMPICO MAURICIO SILVA AP 10,10,7 - SAO CRISTOVAO,"AVENIDA CARLOS MATOSO CORREIA, S/N",BENFICA,(21)25800632,raquel.ferreirarj@spdm-pais.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/10/28 02:00:00+00,,9079939,c4797fdd-65f9-4b1c-849a-19d8b53901b6
-4840470.7614,-2618697.2207,720,2269848,SMS CMS ALEXANDER FLEMING - AP 51,51,17 - BANGU,"RUA MARMIARI, S/N",SENADOR CAMARA,3335-0594,flemingmonit@gmail.com,7 às 18h,8 às 12h,C,CMS,1987/02/14 02:00:00+00,,2269848,fa68b527-1d63-4db9-b7ec-1a36f30f9d6b
-4865250.6714,-2627350.2504,721,3785009,SMS CF VALERIA GOMES ESTEVES - AP 53,53,19 - SANTA CRUZ,"RUA VITORIA REGIA, Q. 4",SEPETIBA,31581733,cfvge.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2010/07/04 03:00:00+00,,3785009,a8c6674b-8c1c-4c68-87d9-1b7e0bc3efe2
-4841503.1614,-2617599.4246,722,7926103,SMS CAPS NEUSA SANTOS SOUZA - AP 51,51,17 - BANGU,"RUA BAALBECK, 75",SENADOR CAMARA, ,capsneusass@gmail.com,8 às 17h,-,-,CAPS,2016/03/09 03:00:00+00,,7926103,3776a740-0df2-4518-ae2d-1c173d2e1e3b
-4816880.1165,-2612848.8503,723,6664164,SMS CMS SAO GODOFREDO - AP 31,31,11 - PENHA,"RUA SAO GODOFREDO, 45",PENHA,(021)39765038,cmssaogodofredo@vivario.org.br,7 às 18h,-,B,CMS,2010/10/20 02:00:00+00,,6664164,91a1b4a0-f0d4-4d1c-9d0c-1c1f935a58fc
-4861911.5697,-2622322.2564,724,6660185,SMS CF DEOLINDO COUTO - AP 53,53,19 - SANTA CRUZ,"RUA SANTO AUGURIO, 40",SANTA CRUZ,(21)31589665,cfdc.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2010/11/23 02:00:00+00,,6660185,8d5031f3-63a5-4ede-981f-1c6bd5d4a84d
-4820323.0248,-2620044.7699,725,2280728,SMS RIO INSTITUTO MUNICIPAL NISE DA SILVEIRA AP 32,32,13 - MEIER,"RUA RAMIRO MAGALHAES, 521",ENGENHO DE DENTRO,(21)31117426,nisedasilveira@smsdc.rio.rj.gov.br,24h,24h,-,HOSPITAL,1911/06/11 03:00:00+00,,2280728,74d00903-272d-432b-916f-1c6cf2a28920
-4806461.206,-2626423.6295,726,9264612,SMS POLICLINICA ROCHA MAIA AP 21,21,4 - BOTAFOGO,"RUA GENERAL SEVERIANO, 91",BOTAFOGO,(21) 2295-2295,polrochamaia@gmail.com,8 às 19h,-,-,POLICLINICA,2017/07/12 03:00:00+00,,9264612,dbefe8ab-7e3c-443d-89ac-1d9bb4ceac33
-4813841.773,-2621346.6368,727,2269341,SMS RIO HOSPITAL MUNICIPAL JESUS,22,9 - VILA ISABEL,"RUA OITO DE DEZEMBRO, 717",VILA ISABEL, , ,24h,24h,-,HOSPITAL,1935/07/30 03:00:00+00,,2269341,7422ffa7-965b-4d7e-85a2-1e847a9c2f9d
-4806921.4903,-2621665.2264,728,5621801,SMS CSE LAPA - AP 10,10,23 - SANTA TERESA,"RUA DO RIACHUELO, 43",CENTRO,32316026,cselapa@gmail.com,8 às 17h,-,B,CMS,2001/03/01 03:00:00+00,,5621801,4bfd95e5-2524-444f-a574-1f0c4df68b4c
-4832502.3092,-2617125.1181,729,3416356,SMS CMS BUA BOANERGES BORGES DA FONSECA - AP 51,51,33 - REALENGO,"RUA LARANJEIRAS DO SUL, S/N",MAGALHAES BASTOS,3462-5134,gestorcmsbua@gmail.com,7 às 18h,8 às 12h,B,CMS,2004/07/02 03:00:00+00,,3416356,6d154f4b-9230-48ac-a78f-1f32c59afcb3
-4827367.0213,-2631407.9286,730,6716938,SMS COORD DE EMERGENCIA REGIONAL CER BARRA - AP 40,40,24 - BARRA DA TIJUCA,"AVENIDA AYRTON SENNA, 2000",BARRA DA TIJUCA,35507060,coord.emerg.barra.riosaude@gmail.com,24h,24h,-,CER,2011/03/16 03:00:00+00,,6716938,29eced35-f991-4514-8348-1f428d38c818
-4814899.4703,-2624787.5567,731,2778696,SMS CMS CARLOS FIGUEIREDO FILHO / BOREL - AP 22,22,8 - TIJUCA,"RUA SAO MIGUEL, S/N",TIJUCA,25701688,gerencia.borel@gmail.com,7 às 17h,-,B,CMS,2000/02/02 02:00:00+00,,2778696,6e313083-7c0b-4ed2-b732-2285ed50b473
-4858507.5815,-2622524.5474,732,6559727,SMS CF ILZO MOTTA DE MELLO - AP 53,53,19 - SANTA CRUZ,"AVENIDA CESARIO DE MELO, 11485",PACIENCIA,33956771,cfimm.cap53@gmail.com,7 às 18h,7 às 12h,A,CLINICA DA FAMILIA,2010/06/13 03:00:00+00,,6559727,88923e7d-26a9-4ac6-855c-22b1084f38aa
-4811835.3134,-2621565.6118,733,5483115,SMS NUCLEO DE SAUDE DO TRABALHADOR NUSAT 2 - AP 22,22,9 - VILA ISABEL,"RUA GENERAL CANABARRO, 345",PRACA DA BANDEIRA,22214269,gtrabalhador@rio.rj.gov.br,8 às 17h,-,-,CENTRO DE REFERENCIA,2007/09/14 03:00:00+00,,5483115,f54fc6fb-9290-410a-a522-233a058fc89e
-4823303.7395,-2611584.3839,734,9131884,SMS CF DEPUTADO PEDRO FERNANDES FILHO - AP 33,33,14 - IRAJA,"PRACA NOSSA SENHORA DA APRESENTACAO, S/N",IRAJA,33710144,cfdeppedrofernandesfilho@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/12/27 02:00:00+00,,9131884,86cb151c-6a97-4eab-8183-23a6b83499db
-4820435.2165,-2620249.4846,735,5413605,SMS CAPS AD RAUL SEIXAS - AP 32,32,13 - MEIER,"RUA DOIS DE FEVEREIRO, 785",ENCANTADO,(21) 3111-7512,crseixas@rio.rj.gov.br,24h,24h,-,CAPS,2004/08/01 03:00:00+00,,5413605,1e43c313-e217-44f5-9560-244d65257fdb
-4854616.1202,-2626618.5376,736,2270285,SMS CMS WOODROW PIMENTEL PANTOJA - AP 52,52,26 - GUARATIBA,"ESTRADA DO MAGARCA, 4435",GUARATIBA,(21)23948360,ger.wpp.cap52@iabas.org.br,7 às 18h,8 às 12h,B,CMS,1982/08/27 03:00:00+00,,2270285,1d0f9b17-96ca-4da1-a117-24938abfe876
-4837598.7207,-2616379.5536,737,2270048,SMS POLICLINICA MANOEL GUILHERME (PAM BANGU) - AP 51,51,17 - BANGU,"AV. RIBEIRO DANTAS, 571",BANGU,(21)3464-6030,pammgsilveira@rio.rj.gov.br,8 às 17h,8 às 12h,-,POLICLINICA,1966/01/03 02:00:00+00,,2270048,b7db557b-bacc-4138-868e-24d9a63d584a
-4806405.3154,-2626373.8581,738,2273489,SMS RIO HOSPITAL MUNICIPAL ROCHA MAIA,21,4 - BOTAFOGO,"GENERAL SEVERIANO, 91",BOTAFOGO, , ,24h,24h,-,HOSPITAL,2002/03/13 03:00:00+00,,2273489,bfaa4c8a-f2ea-4032-8235-2532dd674e10
-4818761.2743,-2617692.4874,739,6742130,SMS CF EMYGDIO ALVES COSTA FILHO - AP 32,32,13 - MEIER,"RUA DO LAZER, 153",PILARES,(21) 3283-3776,cfea.adm@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/03/31 03:00:00+00,,6742130,1dacbd64-639f-4b4b-b617-2731cc4ca33e
-4820557.3226,-2608696.5458,740,5457009,SMS CMS IRACI LOPES - AP 31,31,31 - VIGARIO GERAL,"RUA ANTONIO MENDES, 2",VIGARIO GERAL,(21)3451-9504,usfvigariogeral@vivario.org.br,7 às 17h,-,B,CMS,2011/07/06 03:00:00+00,,5457009,da417ab8-5148-4788-b91a-27550a930d49
-4831639.1345,-2624739.5586,741,2269996,SMS IMAS JULIANO MOREIRA - AP 40,40,16 - JACAREPAGUA,"ESTRADA RODRIGUES CALDAS, 3400",JACAREPAGUA,(21)3432-2358,imasjulianomoreira.nig@gmail.com,24h,24h,-,HOSPITAL,2001/11/30 02:00:00+00,,2269996,99c8d9d2-1293-45d5-8f27-27621f7196fd
-4863304.0949,-2621441.5887,742,6995446,SMS COORDENACAO DE EMERGENCIA REGIONAL CER SANTA CRUZ,53,19 - SANTA CRUZ,"RUA DO PRADO, 325",SANTA CRUZ,3365 5201,cnes.hmp2@spdm-pais.org.br,24h,24h,-,CER,2012/06/07 03:00:00+00,,6995446,ca0157aa-cd62-4af8-99ae-286a259e96c5
-4814834.0884,-2619973.7845,743,6713564,SMS CF ANNA NERY - AP 32,32,13 - MEIER,"RUA ANA NERI COM RUA GENERAL BELFORD, S/N",ROCHA,(21) 3283-3225,cfannanery@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2011/04/14 03:00:00+00,,6713564,f1f20a75-187d-4ac7-a752-2901e3cf626d
-4813674.9841,-2615769.709,744,6023320,SMS CF AUGUSTO BOAL - AP 31,31,30 - COMPLEXO DA MARE,"AV. GUILHERME MAXWEL, 107",MARE,(21) 3105-8982,cfaugustoboal@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2010/12/11 02:00:00+00,,6023320,186ade3f-579e-429f-a55e-29fd7ebe1a32
-4850019.5419,-2639988.1735,745,2270307,SMS CMS MOURAO FILHO - AP 52,52,26 - GUARATIBA,"ESTRADA DA BARRA DE GUARATIBA, 9748",BARRA DE GUARATIBA,(21)34278562,ger.barrradeguaratiba.cap52@iabas.org.br,7 às 18h,-,B,CMS,2004/03/13 03:00:00+00,,2270307,a6f653b6-d4a5-47f0-b7d4-2a74ad93c618
-4817792.1809,-2613000.2841,746,6664075,SMS CF FELIPPE CARDOSO - AP 31,31,11 - PENHA,"AVENIDA NOSSA SENHORA DA PENHA, 42",PENHA,(21)3977-7661,cffelipecardoso@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2010/12/10 02:00:00+00,,6664075,4567a031-f6d3-40f5-8a90-2bbf4cf3932b
-4810074.1742,-2607200.448,747,5467136,SMS CMS PARQUE ROYAL - AP 31,31,20 - ILHA DO GOVERNADOR,"RUA JORNALISTA ALAIDE PIRES, 25",PORTUGUESA,(21)3353-8448,usfparqueroyal@vivario.org.br,7 às 17h,-,B,CMS,1999/04/05 03:00:00+00,,5467136,2c4e5f09-8194-4f53-a631-2c321bcb8d6b
-4806642.5326,-2608308.2598,748,9072659,SMS CF WILMA COSTA - AP 31,31,20 - ILHA DO GOVERNADOR,"PARQUE POETA MANUEL BANDEIRA, S/N",COCOTA,21972401033,cfwilmacosta@vivario.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/09/29 03:00:00+00,,9072659,fe930c37-203e-4b0c-85c4-2c418708e647
-4814860.4927,-2630750.0624,749,6507409,SMS UPA 24H ROCINHA - AP 21,21,27 - ROCINHA,"ESTRADA DA GAVEA, 522",ROCINHA,33227039,elenybritto@vivario.org.br,24h,24h,-,UPA,2010/03/18 03:00:00+00,,6507409,442bc7c6-5693-491d-a5b8-2daa0f95f09f
-4816005.7386,-2618991.1873,750,2280736,SMS CMS RENATO ROCCO - AP 32,32,28 - JACAREZINHO,"RUA AIRES DE CASAL, S/N",JACAREZINHO,(21) 3297-2521,gerenciarenatorocco@yahoo.com.br,7 às 18h,-,C,CMS,1988/01/07 02:00:00+00,,2280736,32748a0c-9bbd-4205-8037-2ddc72e1ab62
-4825313.2108,-2614068.6626,751,7110162,SMS UPA 24H ROCHA MIRANDA - AP 33,33,15 - MADUREIRA,"ESTRADA DO BARRO VERMELHO, S/N",ROCHA MIRANDA,35141487,upa24hrochamiranda.riosaude@gmail.com,24h,24h,-,UPA,2012/09/26 03:00:00+00,,7110162,4fd3a1fe-c451-4645-9fd9-2e3e03138329
-4811820.7965,-2621562.3396,752,2295326,SMS CMR OSCAR CLARK - AP 22,22,9 - VILA ISABEL,"RUA GENERAL CANABARRO, 345",MARACANA,22841849,ioc@rio.rj.gov.br,8 às 17h,-,-,CMR,2002/10/11 03:00:00+00,,2295326,5deb6de7-ff6a-4345-8702-2ebc78fed47e
-4817532.1501,-2619780.4131,753,9131795,SMS CF ERIVALDO FERNANDES NOBREGA - AP 32,32,13 - MEIER,"RUA RIO GRANDE DO SUL, 26",MEIER,2135-3555,cfefn.rj@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/12/16 02:00:00+00,,9131795,8c36e094-4baf-43ce-a3c5-2f78ec3c5e78
-4816558.4244,-2615226.8507,754,6512925,SMS UPA 24H COMPLEXO DO ALEMAO - AP 31,31,29 - COMPLEXO DO ALEMAO,"ESTRADA DO ITARARE, 221",BONSUCESSO, , ,24h,24h,-,UPA,2010/04/08 03:00:00+00,,6512925,cafdc8ad-d6b9-43ec-a0dd-2fb7c7ccabc5
-4819047.0934,-2619516.014,755,2269805,SMS CMS MILTON FONTES MAGARAO - AP 32,32,13 - MEIER,"AV AMARO CAVALCANTI, 1387",ENGENHO DE DENTRO,21-31116707,miltonfontesmagarao@gmail.com,7 às 18h,8 às 12h,C,CMS,1979/03/12 03:00:00+00,,2269805,689c882c-b11e-4f5c-843a-305355a05a4d
-4823255.8013,-2611535.4637,756,7110340,SMS PADI FRANCISCO DA SILVA TELLES - AP 33,33,14 - IRAJA,"AVENIDA UBIRAJARA, 25",IRAJA,(21)3523-8542,faturamento.padiiabas@iabas.org.br,7 às 19h,-,-,HOSPITAL,2012/09/25 03:00:00+00,,7110340,204de147-4de2-4085-8318-30e6b945d098
-4817215.2438,-2620655.599,757,6033121,SMS CMS ANTENOR NASCENTES - AP 32,32,13 - MEIER,"RUA PROFESSOR ANTENOR NASCENTES, 125",LINS DE VASCONCELOS,(21) 3277-6368,psfpan@gmail.com,8 às 17h,8 às 12h,B,CMS,2008/12/23 02:00:00+00,,6033121,12c9498c-2bf0-45c6-abe5-312d5ad0d07c
-4829281.1802,-2609857.6755,758,7088574,SMS CF MANOEL FERNANDES DE ARAUJO - AP 33,33,25 - PAVUNA,"RUA LAUDO DE CAMARGO, S/N",PAVUNA,21 3358 7884,cf.seuneco@gmail.com,7 às 18h,-,A,CLINICA DA FAMILIA,2012/09/18 03:00:00+00,,7088574,8d0a8d23-d1bc-4f0e-979f-337c8acca160
-4852982.5542,-2621443.7047,759,3567540,SMS CF ANA GONZAGA - AP 52,52,18 - CAMPO GRANDE,"PRACA JOAO WESLEY, 7",INHOAIBA,(21)24156520,ger.anagonzaga.cap52@iabas.org.br,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2016/01/13 02:00:00+00,,3567540,2f90d4ca-eafc-4dfd-be2d-34bdcdd51aea
-4809097.7551,-2621086.9849,760,2288346,SMS CMS MARCOLINO CANDAU - AP 10,10,3 - RIO COMPRIDO,"RUA LAURA DE ARAUJO, 36",CIDADE NOVA,(21)2273-2244,cmsmcandau@smsdc.rio.rj.gov.br,7 às 17h,8 às 12h,C,CMS,1995/11/25 02:00:00+00,,2288346,bdabecfe-1c22-4a02-8fd9-34d6d041189b
-4838326.2316,-2614469.0028,761,3416372,SMS CF ROSINO BACCARINI - AP 51,51,17 - BANGU,"RUA ARAQUEM, 840",BANGU,2401-5924,psfcancelapreta2@gmail.com,7 às 18h,8 às 12h,A,CLINICA DA FAMILIA,2012/07/05 03:00:00+00,,3416372,322e2c00-1be1-4318-a359-35b0445480c9
-4860383.9844,-2624147.8392,762,2273578,SMS CMS CESARIO DE MELLO - AP 53,53,19 - SANTA CRUZ,"RUA 2, S/N",SANTA CRUZ,(21)33052049,cmscm.cap53@gmail.com,7 às 18h,7 às 12h,B,CMS,1982/07/01 03:00:00+00,,2273578,34fe2429-a798-4f6f-ad24-364928a47e42
-4853123.0258,-2620945.7453,763,2269538,SMS CMS EDGARD MAGALHAES GOMES - AP 52,52,18 - CAMPO GRANDE,"PRACA FILOMENA CARLOS MAGNO, 0",INHOAIBA,(21)3377-2850,ger.emg.cap52@iabas.org.br,7 às 18h,8 às 12h,B,CMS,2007/12/17 02:00:00+00,,2269538,2312fb25-256d-4bf7-b9bd-371472d1ba5d
-4833232.9468,-2619018.9474,764,7101856,SMS UPA 24H MAGALHAES BASTOS - AP 51,51,33 - REALENGO,"ESTRADA MANOEL NOGUEIRA DE SA, S/N",MAGALHAES BASTOS,35507080,amanda.kauffmann@cvbsaude.org,24h,24h,-,UPA,2012/08/28 03:00:00+00,,7101856,6b2b7f79-2c16-4a4b-b6e4-3739eb7b83ba
-4828013.8186,-2615658.8236,765,189200,SMS CF ENGENHEIRO SANITARISTA PAULO D AGUILA AP 33,33,15 - MADUREIRA,"JORGE SHMIDT, 331",MARECHAL HERMES, , ,7h às 18h, ,A,CLINICA DA FAMILIA,2020/07/01 03:00:00+00,,189200,9e26d316-a98c-4ed0-9506-38aeb474a462
